Provider,Tier,Latest Version,Latest Version Published,Created At,Days Since Update,,Protocol v4,Protocol v5,Protocol v6,,Cohort: Framework only,Cohort: SDKv2 only,Cohort: Framework+SDKv2,,Managed Resources,Resource Identities,Data Sources,Ephemeral Resources,List Resources,Actions,Provider Functions,Guides,Total Features,,Downloads,Version Count,Subcategories
advian-oss/xkcdpass,community,1.0.0,2022-11-21,2022-11-21,1273,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,3.8K,1,0
adyxax/eventline,community,0.2.27,2026-04-26,2023-06-18,21,,,,✅,,✅,,,,2,0,4,0,0,0,0,0,6,,12.0K,38,0
adyxax/forgejo,community,1.5.4,2026-04-18,2025-05-27,29,,,,✅,,✅,,,,7,0,5,0,0,0,0,0,12,,1.7K,18,0
aegaxs/spinnaker,community,0.2.1,2023-11-01,2023-11-01,928,,,✅,,,,✅,,,5,0,1,0,0,0,0,0,6,,4.4K,1,0
AegirHealth/netlify,community,0.6.12,2020-12-20,2020-12-16,1974,,,✅,,,,✅,,,4,0,0,0,0,0,0,0,4,,54.5K,12,0
aeirola/bitbucket,community,2.0.2,2022-01-21,2021-03-15,1577,,,✅,,,,✅,,,8,0,1,0,0,0,0,0,9,,44.0K,4,0
aellwein/azuredevops,community,0.3.0,2023-01-20,2023-01-19,1213,,,✅,,,,✅,,,64,0,19,0,0,0,0,1,83,,3.5K,3,0
aellwein/universe,community,0.1.1,2023-08-07,2023-08-04,1014,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,5.8K,4,0
aelmel/cockroach,community,0.1.5,2025-09-18,2025-09-16,241,,,✅,,,,✅,,,3,0,1,0,0,0,0,0,4,,283,2,0
Aembit/aembit,partner,1.30.0,2026-04-10,2024-03-06,37,,,,✅,,✅,,,,17,0,21,0,0,0,0,0,38,,23.3K,34,0
aep-dev/aep,community,0.2.0,2026-04-04,2026-04-04,43,,,,✅,,✅,,,,0,0,0,0,0,0,0,0,0,,115,1,0
aequasi/discord,community,0.0.4,2020-08-31,2020-08-25,2085,,,✅,,,,✅,,,10,0,6,0,0,0,0,0,16,,11.8K,3,0
aequitas/transip,community,0.1.27,2025-06-03,2020-07-31,348,,,✅,,,,✅,,,9,0,4,0,0,0,0,0,13,,188.9K,25,0
affinity/aws-download,community,0.0.2,2022-09-02,2022-09-02,1353,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,11.8K,1,0
afichman-netbox-terraform/netbox,community,3.8.3-afichman,2024-02-05,2024-02-02,832,,,✅,,,,✅,,,67,0,40,0,0,0,0,0,107,,2.4K,4,7
afresh-technologies/onepassword,community,1.0.0,2022-05-19,2022-05-19,1459,,,✅,,,,✅,,,11,0,11,0,0,0,0,0,22,,1.0M,1,0
ag-TJNII/powerdns,community,101.7.2,2022-08-17,2021-04-09,1369,,,✅,,,,✅,,,2,0,0,0,0,0,0,0,2,,19.1K,4,0
aganisatria/lark,community,1.1.1,2025-07-17,2025-02-17,304,,,,✅,,✅,,,,9,0,2,0,0,0,0,0,11,,580,4,0
agaralabs/aws,community,0.99.10,2021-01-24,2021-01-24,1939,,,✅,,,,✅,,,662,0,229,0,0,0,0,4,891,,3.2K,2,126
agarat/uptimerobot,community,1.4.7,2026-03-10,2026-03-10,68,,,,✅,,✅,,,,4,0,0,0,0,0,0,0,4,,244,6,0
Agent-Tao/st-godaddy,community,0.1.1,2023-09-22,2023-09-20,968,,,,✅,,✅,,,,1,0,0,0,0,0,0,0,1,,2.2K,2,0
Agent-Tao/st-namecheap,community,2.2.1,2023-08-08,2023-08-08,1013,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,926,1,0
agentctx/agentctx,community,0.1.0,2026-02-14,2026-02-14,92,,,,✅,,✅,,,,2,0,0,0,0,0,0,1,2,,104,1,0
agilize/jumpcloud,community,1.0.1,2025-11-19,2025-03-28,179,,,✅,✅,,,,✅,,19,0,11,0,0,0,0,0,30,,4.5K,15,7
agrrh/ipam,community,0.1.4,2024-04-19,2023-10-15,758,,,,✅,,✅,,,,2,0,0,0,0,0,0,0,2,,5.1K,5,0
AgustinBettati/agustinbettati,community,0.0.9,2026-03-10,2025-01-24,68,,,,✅,,✅,,,,2,0,2,0,0,0,0,0,4,,1.5K,9,1
agynio/agyn,community,0.6.11,2026-04-24,2026-02-25,23,,,✅,,,,✅,,,19,0,0,0,0,0,0,0,19,,31.8K,19,0
agynio/k3d,community,0.2.3,2026-03-05,2026-02-24,73,,,✅,,,,✅,,,3,0,3,0,0,0,0,0,6,,6.0K,5,0
agynio/testllm,community,0.4.4,2026-04-12,2026-03-26,35,,,✅,,,,✅,,,3,0,1,0,0,0,0,0,4,,371,8,0
ahamlinman/zonefile,community,0.1.2,2025-03-02,2024-08-18,441,,,,✅,,✅,,,,0,0,2,0,0,0,0,0,2,,267,2,0
